year,quarter,state,district,registeredusers
2019,Q4,Maharashtra,Nagpur,1134480
2019,Q4,Maharashtra,Mumbai,973018
2019,Q4,Maharashtra,Aurangabad,947081
2019,Q4,Maharashtra,Ahmednagar,805271
2019,Q4,Maharashtra,Palghar,767925
2019,Q4,Maharashtra,Raigad,754910
2019,Q1,Maharashtra,Pune,3038402
2019,Q1,Maharashtra,Mumbai Suburban,1901210
2019,Q1,Maharashtra,Thane,1834051
2019,Q1,Maharashtra,Nashik,853648
2019,Q1,Maharashtra,Nagpur,765612
2019,Q1,Maharashtra,Mumbai,670094
2019,Q1,Maharashtra,Aurangabad,644687
2019,Q1,Maharashtra,Ahmednagar,532651
2019,Q1,Maharashtra,Palghar,521918
2019,Q1,Maharashtra,Raigad,509108
2019,Q2,Maharashtra,Pune,3514081
2019,Q2,Maharashtra,Mumbai Suburban,2151657
2019,Q2,Maharashtra,Thane,2118406
2019,Q2,Maharashtra,Nashik,995687
2019,Q2,Maharashtra,Nagpur,887042
2019,Q2,Maharashtra,Mumbai,785480
2019,Q2,Maharashtra,Aurangabad,736863
2019,Q2,Maharashtra,Ahmednagar,614812
2019,Q2,Maharashtra,Palghar,608184
2019,Q2,Maharashtra,Raigad,594675
2019,Q3,Maharashtra,Pune,4004991
2019,Q3,Maharashtra,Mumbai Suburban,2407754
2019,Q3,Maharashtra,Thane,2396815
2019,Q3,Maharashtra,Nashik,1155897
2019,Q3,Maharashtra,Nagpur,1015333
2019,Q3,Maharashtra,Mumbai,889541
2019,Q3,Maharashtra,Aurangabad,841802
2019,Q3,Maharashtra,Ahmednagar,705492
2019,Q3,Maharashtra,Palghar,691229
2019,Q3,Maharashtra,Raigad,679155
2018,Q4,Maharashtra,Pune,2498852
2018,Q4,Maharashtra,Mumbai Suburban,1578487
2018,Q4,Maharashtra,Thane,1473811
2018,Q4,Maharashtra,Nashik,698343
2018,Q4,Maharashtra,Nagpur,627317
2018,Q4,Maharashtra,Mumbai,543353
2018,Q4,Maharashtra,Aurangabad,534477
2018,Q4,Maharashtra,Ahmednagar,439246
2018,Q4,Maharashtra,Solapur,419060
2018,Q4,Maharashtra,Palghar,414825
2018,Q2,Maharashtra,Pune,1592293
2018,Q2,Maharashtra,Mumbai Suburban,957633
2018,Q2,Maharashtra,Thane,861292
2018,Q2,Maharashtra,Nashik,436668
2018,Q2,Maharashtra,Nagpur,380425
2018,Q2,Maharashtra,Aurangabad,347838
2018,Q2,Maharashtra,Mumbai,319588
2018,Q2,Maharashtra,Ahmednagar,268520
2018,Q2,Maharashtra,Solapur,259084
2018,Q2,Maharashtra,Palghar,239053
2018,Q1,Maharashtra,Pune,1211643
2018,Q1,Maharashtra,Mumbai Suburban,719300
2018,Q1,Maharashtra,Thane,631864
2018,Q1,Maharashtra,Nashik,321402
2018,Q1,Maharashtra,Nagpur,280007
2018,Q1,Maharashtra,Aurangabad,266324
2018,Q1,Maharashtra,Mumbai,233538
2018,Q1,Maharashtra,Ahmednagar,197473
2018,Q1,Maharashtra,Solapur,190033
2018,Q1,Maharashtra,Raigad,173015
2018,Q3,Maharashtra,Pune,1974138
2018,Q3,Maharashtra,Mumbai Suburban,1218632
2018,Q3,Maharashtra,Thane,1104206
2018,Q3,Maharashtra,Nashik,552556
2018,Q3,Maharashtra,Nagpur,487280
2018,Q3,Maharashtra,Aurangabad,428394
2018,Q3,Maharashtra,Mumbai,410878
2018,Q3,Maharashtra,Ahmednagar,344804
2018,Q3,Maharashtra,Solapur,331428
2018,Q3,Maharashtra,Palghar,312322
2022,Q4,Maharashtra,Pune,9622338
2022,Q4,Maharashtra,Thane,6042267
2022,Q4,Maharashtra,Mumbai Suburban,5831539
2022,Q4,Maharashtra,Nashik,3086721
2022,Q4,Maharashtra,Nagpur,2655029
2022,Q4,Maharashtra,Aurangabad,2201353
2022,Q4,Maharashtra,Mumbai,2178155
2022,Q4,Maharashtra,Ahmednagar,2027819
2022,Q4,Maharashtra,Palghar,1870957
2022,Q4,Maharashtra,Solapur,1811044
2022,Q1,Maharashtra,Pune,8331582
2022,Q1,Maharashtra,Thane,5196050
2022,Q1,Maharashtra,Mumbai Suburban,5017556
2022,Q1,Maharashtra,Nashik,2661739
2022,Q1,Maharashtra,Nagpur,2286011
2022,Q1,Maharashtra,Aurangabad,1894797
2022,Q1,Maharashtra,Mumbai,1873643
2022,Q1,Maharashtra,Ahmednagar,1749682
2022,Q1,Maharashtra,Palghar,1601518
2022,Q1,Maharashtra,Solapur,1565902
2022,Q3,Maharashtra,Pune,9194074
2022,Q3,Maharashtra,Thane,5757165
2022,Q3,Maharashtra,Mumbai Suburban,5555095
2022,Q3,Maharashtra,Nashik,2948824
2022,Q3,Maharashtra,Nagpur,2532986
2022,Q3,Maharashtra,Aurangabad,2101234
2022,Q3,Maharashtra,Mumbai,2074701
2022,Q3,Maharashtra,Ahmednagar,1940071
2022,Q3,Maharashtra,Palghar,1781265
2022,Q3,Maharashtra,Solapur,1733556
2022,Q2,Maharashtra,Pune,8757249
2022,Q2,Maharashtra,Thane,5471749
2022,Q2,Maharashtra,Mumbai Suburban,5281053
2022,Q2,Maharashtra,Nashik,2803471
2022,Q2,Maharashtra,Nagpur,2407812
2022,Q2,Maharashtra,Aurangabad,1996927
2022,Q2,Maharashtra,Mumbai,1972178
2022,Q2,Maharashtra,Ahmednagar,1844168
2022,Q2,Maharashtra,Palghar,1689875
2022,Q2,Maharashtra,Solapur,1649511
2024,Q4,Kerala,Ernakulam,2185070
2024,Q4,Kerala,Malappuram,1493179
2024,Q4,Kerala,Thiruvananthapuram,1445205
2024,Q4,Kerala,Kozhikode,1375990
2024,Q4,Kerala,Thrissur,1116356
2024,Q4,Kerala,Kannur,970977
2024,Q4,Kerala,Kollam,953446
2024,Q4,Kerala,Palakkad,939984
2024,Q4,Kerala,Alappuzha,781471
2024,Q4,Kerala,Kottayam,752578
2024,Q1,Kerala,Ernakulam,2040327
2024,Q1,Kerala,Thiruvananthapuram,1385762
2024,Q1,Kerala,Kozhikode,1225291
2024,Q1,Kerala,Malappuram,1204103
2024,Q1,Kerala,Thrissur,1077037
2024,Q1,Kerala,Kannur,889736
2024,Q1,Kerala,Kollam,881620
2024,Q1,Kerala,Palakkad,869821
2024,Q1,Kerala,Alappuzha,758068
2024,Q1,Kerala,Kottayam,712753
2024,Q3,Kerala,Ernakulam,2119728
2024,Q3,Kerala,Malappuram,1444707
2024,Q3,Kerala,Thiruvananthapuram,1401819
2024,Q3,Kerala,Kozhikode,1335361
2024,Q3,Kerala,Thrissur,1082800
2024,Q3,Kerala,Kannur,941166
2024,Q3,Kerala,Kollam,924587
2024,Q3,Kerala,Palakkad,911039
2024,Q3,Kerala,Alappuzha,758331
2024,Q3,Kerala,Kottayam,729324
2024,Q2,Kerala,Ernakulam,2114463
2024,Q2,Kerala,Thiruvananthapuram,1436717
2024,Q2,Kerala,Kozhikode,1267997
2024,Q2,Kerala,Malappuram,1245343
2024,Q2,Kerala,Thrissur,1115980
2024,Q2,Kerala,Kannur,921059
2024,Q2,Kerala,Kollam,913913
2024,Q2,Kerala,Palakkad,902163
2024,Q2,Kerala,Alappuzha,786309
2024,Q2,Kerala,Kottayam,739199
2022,Q4,Kerala,Ernakulam,1687311
2022,Q4,Kerala,Thiruvananthapuram,1146770
2022,Q4,Kerala,Kozhikode,1022289
2022,Q4,Kerala,Malappuram,1003617
2022,Q4,Kerala,Thrissur,889949
2022,Q4,Kerala,Kannur,738843
2022,Q4,Kerala,Kollam,724767
2022,Q4,Kerala,Palakkad,717320
2022,Q4,Kerala,Alappuzha,622234
2022,Q4,Kerala,Kottayam,585546
2022,Q1,Kerala,Ernakulam,1454447
2022,Q1,Kerala,Thiruvananthapuram,989791
2022,Q1,Kerala,Kozhikode,887215
2022,Q1,Kerala,Malappuram,871127
2022,Q1,Kerala,Thrissur,768604
2022,Q1,Kerala,Kannur,640842
2022,Q1,Kerala,Kollam,623472
2022,Q1,Kerala,Palakkad,620428
2022,Q1,Kerala,Alappuzha,534116
2022,Q1,Kerala,Kottayam,504349
2022,Q2,Kerala,Ernakulam,1531113
2022,Q2,Kerala,Thiruvananthapuram,1041643
2022,Q2,Kerala,Kozhikode,932060
2022,Q2,Kerala,Malappuram,915204
2022,Q2,Kerala,Thrissur,808727
2022,Q2,Kerala,Kannur,673887
2022,Q2,Kerala,Kollam,657033
2022,Q2,Kerala,Palakkad,653051
2022,Q2,Kerala,Alappuzha,563253
2022,Q2,Kerala,Kottayam,531625
2022,Q3,Kerala,Ernakulam,1611052
2022,Q3,Kerala,Thiruvananthapuram,1095580
2022,Q3,Kerala,Kozhikode,978992
2022,Q3,Kerala,Malappuram,961854
2022,Q3,Kerala,Thrissur,851462
2022,Q3,Kerala,Kannur,708205
2022,Q3,Kerala,Kollam,692226
2022,Q3,Kerala,Palakkad,687131
2022,Q3,Kerala,Alappuzha,593932
2022,Q3,Kerala,Kottayam,560099
2020,Q3,Kerala,Ernakulam,917356
2020,Q3,Kerala,Thiruvananthapuram,624681
2020,Q3,Kerala,Kozhikode,554275
2020,Q3,Kerala,Malappuram,533108
2020,Q3,Kerala,Thrissur,479671
2020,Q3,Kerala,Kannur,400107
2020,Q3,Kerala,Kollam,385866
2020,Q3,Kerala,Palakkad,384712
2020,Q3,Kerala,Alappuzha,330393
2020,Q3,Kerala,Kottayam,311954
2020,Q2,Kerala,Ernakulam,798771
2020,Q2,Kerala,Thiruvananthapuram,536574
2020,Q2,Kerala,Kozhikode,469436
2020,Q2,Kerala,Malappuram,445757
2020,Q2,Kerala,Thrissur,403662
2020,Q2,Kerala,Kannur,338685
2020,Q2,Kerala,Palakkad,324519
2020,Q2,Kerala,Kollam,318727
2020,Q2,Kerala,Alappuzha,274531
2020,Q2,Kerala,Kottayam,265591
2020,Q4,Kerala,Ernakulam,1039584
2020,Q4,Kerala,Thiruvananthapuram,708948
2020,Q4,Kerala,Kozhikode,635320
2020,Q4,Kerala,Malappuram,619218
2020,Q4,Kerala,Thrissur,548425
2020,Q4,Kerala,Kannur,457911
2020,Q4,Kerala,Kollam,442546
2020,Q4,Kerala,Palakkad,439597
2020,Q4,Kerala,Alappuzha,377772
2020,Q4,Kerala,Kottayam,357079
2020,Q1,Kerala,Ernakulam,716945
2020,Q1,Kerala,Thiruvananthapuram,466301
2020,Q1,Kerala,Kozhikode,404139
2020,Q1,Kerala,Malappuram,387405
2020,Q1,Kerala,Thrissur,349437
2020,Q1,Kerala,Kannur,282719
2020,Q1,Kerala,Palakkad,277861
2020,Q1,Kerala,Kollam,265751
2020,Q1,Kerala,Alappuzha,235048
2020,Q1,Kerala,Kottayam,229263
2019,Q3,Kerala,Ernakulam,553200
2019,Q3,Kerala,Thiruvananthapuram,340900
2019,Q3,Kerala,Kozhikode,294333
2019,Q3,Kerala,Malappuram,282514
2019,Q3,Kerala,Thrissur,259366
2019,Q3,Kerala,Kannur,204129
2019,Q3,Kerala,Palakkad,202761
2019,Q3,Kerala,Kollam,183743
2019,Q3,Kerala,Kottayam,169581
2019,Q3,Kerala,Alappuzha,166845
2019,Q1,Kerala,Ernakulam,409812
2019,Q1,Kerala,Thiruvananthapuram,239634
2019,Q1,Kerala,Kozhikode,212403
2019,Q1,Kerala,Malappuram,206857
2019,Q1,Kerala,Thrissur,184516
2019,Q1,Kerala,Palakkad,145211
2019,Q1,Kerala,Kannur,143289
2019,Q1,Kerala,Kollam,125697
2019,Q1,Kerala,Kottayam,121975
2019,Q1,Kerala,Alappuzha,114882
2019,Q4,Kerala,Ernakulam,633101
2019,Q4,Kerala,Thiruvananthapuram,400110
2019,Q4,Kerala,Kozhikode,345534
2019,Q4,Kerala,Malappuram,333816
2019,Q4,Kerala,Thrissur,302503
2019,Q4,Kerala,Kannur,240296
2019,Q4,Kerala,Palakkad,237650
2019,Q4,Kerala,Kollam,221687
2019,Q4,Kerala,Alappuzha,198940
2019,Q4,Kerala,Kottayam,197540
2019,Q2,Kerala,Ernakulam,479320
2019,Q2,Kerala,Thiruvananthapuram,288292
2019,Q2,Kerala,Kozhikode,251348
2019,Q2,Kerala,Malappuram,243384
2019,Q2,Kerala,Thrissur,220648
2019,Q2,Kerala,Palakkad,174037
2019,Q2,Kerala,Kannur,172894
2019,Q2,Kerala,Kollam,152841
2019,Q2,Kerala,Kottayam,145387
2019,Q2,Kerala,Alappuzha,139046
2021,Q2,Kerala,Ernakulam,1203623
2021,Q2,Kerala,Thiruvananthapuram,820485
2021,Q2,Kerala,Kozhikode,737623
2021,Q2,Kerala,Malappuram,722597
2021,Q2,Kerala,Thrissur,635598
2021,Q2,Kerala,Kannur,530657
2021,Q2,Kerala,Kollam,513820
2021,Q2,Kerala,Palakkad,511298
2021,Q2,Kerala,Alappuzha,438924
2021,Q2,Kerala,Kottayam,415007
2021,Q1,Kerala,Ernakulam,1126122
2021,Q1,Kerala,Thiruvananthapuram,767813
2021,Q1,Kerala,Kozhikode,691148
2021,Q1,Kerala,Malappuram,676242
2021,Q1,Kerala,Thrissur,594589
2021,Q1,Kerala,Kannur,496955
2021,Q1,Kerala,Kollam,480459
2021,Q1,Kerala,Palakkad,477868
2021,Q1,Kerala,Alappuzha,410141
2021,Q1,Kerala,Kottayam,387696
2021,Q4,Kerala,Ernakulam,1374081
2021,Q4,Kerala,Thiruvananthapuram,935705
2021,Q4,Kerala,Kozhikode,839678
2021,Q4,Kerala,Malappuram,824018
2021,Q4,Kerala,Thrissur,725878
2021,Q4,Kerala,Kannur,605576
2021,Q4,Kerala,Kollam,588254
2021,Q4,Kerala,Palakkad,585306
2021,Q4,Kerala,Alappuzha,503589
2021,Q4,Kerala,Kottayam,475496
2021,Q3,Kerala,Ernakulam,1289089
2021,Q3,Kerala,Thiruvananthapuram,878444
2021,Q3,Kerala,Kozhikode,789078
2021,Q3,Kerala,Malappuram,773963
2021,Q3,Kerala,Thrissur,681187
2021,Q3,Kerala,Kannur,568613
2021,Q3,Kerala,Kollam,551267
2021,Q3,Kerala,Palakkad,548776
2021,Q3,Kerala,Alappuzha,471228
2021,Q3,Kerala,Kottayam,445540
2018,Q2,Kerala,Ernakulam,211942
2018,Q2,Kerala,Thiruvananthapuram,115732
2018,Q2,Kerala,Malappuram,110526
2018,Q2,Kerala,Kozhikode,110167
2018,Q2,Kerala,Thrissur,91046
2018,Q2,Kerala,Kannur,72388
2018,Q2,Kerala,Palakkad,71303
2018,Q2,Kerala,Kottayam,60088
2018,Q2,Kerala,Kollam,59777
2018,Q2,Kerala,Alappuzha,54864
2018,Q4,Kerala,Ernakulam,341257
2018,Q4,Kerala,Thiruvananthapuram,194677
2018,Q4,Kerala,Kozhikode,176204
2018,Q4,Kerala,Malappuram,172300
2018,Q4,Kerala,Thrissur,151138
2018,Q4,Kerala,Palakkad,118587
2018,Q4,Kerala,Kannur,117999
2018,Q4,Kerala,Kollam,102686
2018,Q4,Kerala,Kottayam,100756
2018,Q4,Kerala,Alappuzha,93494
2018,Q1,Kerala,Ernakulam,159188
2018,Q1,Kerala,Malappuram,86063
2018,Q1,Kerala,Kozhikode,83422
2018,Q1,Kerala,Thiruvananthapuram,81846
2018,Q1,Kerala,Thrissur,67247
2018,Q1,Kerala,Kannur,54093
2018,Q1,Kerala,Palakkad,51507
2018,Q1,Kerala,Kottayam,43142
2018,Q1,Kerala,Kollam,41946
2018,Q1,Kerala,Alappuzha,39275
2018,Q3,Kerala,Ernakulam,263779
2018,Q3,Kerala,Thiruvananthapuram,147475
2018,Q3,Kerala,Kozhikode,136469
2018,Q3,Kerala,Malappuram,134338
2018,Q3,Kerala,Thrissur,115170
2018,Q3,Kerala,Kannur,91537
2018,Q3,Kerala,Palakkad,91071
2018,Q3,Kerala,Kottayam,77331
2018,Q3,Kerala,Kollam,77192
2018,Q3,Kerala,Alappuzha,71052
2023,Q3,Kerala,Ernakulam,1897604
2023,Q3,Kerala,Thiruvananthapuram,1288756
2023,Q3,Kerala,Kozhikode,1142968
2023,Q3,Kerala,Malappuram,1122286
2023,Q3,Kerala,Thrissur,1000321
2023,Q3,Kerala,Kannur,828310
2023,Q3,Kerala,Kollam,817493
2023,Q3,Kerala,Palakkad,807530
2023,Q3,Kerala,Alappuzha,702662
2023,Q3,Kerala,Kottayam,660585
2023,Q2,Kerala,Ernakulam,1826879
2023,Q2,Kerala,Thiruvananthapuram,1241042
2023,Q2,Kerala,Kozhikode,1102669
2023,Q2,Kerala,Malappuram,1082848
2023,Q2,Kerala,Thrissur,963142
2023,Q2,Kerala,Kannur,798378
2023,Q2,Kerala,Kollam,786161
2023,Q2,Kerala,Palakkad,777224
2023,Q2,Kerala,Alappuzha,675625
2023,Q2,Kerala,Kottayam,635322
2023,Q4,Kerala,Ernakulam,1964544
2023,Q4,Kerala,Thiruvananthapuram,1334950
2023,Q4,Kerala,Kozhikode,1181172
2023,Q4,Kerala,Malappuram,1160238
2023,Q4,Kerala,Thrissur,1036542
2023,Q4,Kerala,Kannur,857051
2023,Q4,Kerala,Kollam,847768
2023,Q4,Kerala,Palakkad,836952
2023,Q4,Kerala,Alappuzha,728812
2023,Q4,Kerala,Kottayam,685268
2023,Q1,Kerala,Ernakulam,1760620
2023,Q1,Kerala,Thiruvananthapuram,1196164
2023,Q1,Kerala,Kozhikode,1063764
2023,Q1,Kerala,Malappuram,1043945
2023,Q1,Kerala,Thrissur,927648
2023,Q1,Kerala,Kannur,769407
2023,Q1,Kerala,Kollam,756282
2023,Q1,Kerala,Palakkad,747944
2023,Q1,Kerala,Alappuzha,649660
2023,Q1,Kerala,Kottayam,611048
2022,Q3,Lakshadweep,Lakshadweep,6645
2022,Q1,Lakshadweep,Lakshadweep,5990
2022,Q4,Lakshadweep,Lakshadweep,6961
2022,Q2,Lakshadweep,Lakshadweep,6327
2023,Q3,Lakshadweep,Lakshadweep,7912
2023,Q1,Lakshadweep,Lakshadweep,7267
2023,Q4,Lakshadweep,Lakshadweep,8225
2023,Q2,Lakshadweep,Lakshadweep,7585
2021,Q4,Lakshadweep,Lakshadweep,5638
2021,Q2,Lakshadweep,Lakshadweep,4896
2021,Q1,Lakshadweep,Lakshadweep,4577
2021,Q3,Lakshadweep,Lakshadweep,5287
2024,Q3,Lakshadweep,Lakshadweep,11395
2024,Q4,Lakshadweep,Lakshadweep,11769
2024,Q1,Lakshadweep,Lakshadweep,8578
2024,Q2,Lakshadweep,Lakshadweep,8895
2019,Q2,Lakshadweep,Lakshadweep,1747
2019,Q4,Lakshadweep,Lakshadweep,2427
2019,Q3,Lakshadweep,Lakshadweep,2117
2019,Q1,Lakshadweep,Lakshadweep,1416
2020,Q2,Lakshadweep,Lakshadweep,3187
2020,Q3,Lakshadweep,Lakshadweep,3644
2020,Q4,Lakshadweep,Lakshadweep,4179
2020,Q1,Lakshadweep,Lakshadweep,2772
2018,Q2,Lakshadweep,Lakshadweep,686
2018,Q1,Lakshadweep,Lakshadweep,501
2018,Q3,Lakshadweep,Lakshadweep,918
2018,Q4,Lakshadweep,Lakshadweep,1156
2024,Q3,Ladakh,Leh Ladakh,142693
2024,Q3,Ladakh,Kargil,51453
2024,Q4,Ladakh,Leh Ladakh,141456
2024,Q4,Ladakh,Kargil,52268
2024,Q1,Ladakh,Leh Ladakh,99940
2024,Q1,Ladakh,Kargil,30130
2024,Q2,Ladakh,Leh Ladakh,103519
2024,Q2,Ladakh,Kargil,31183
2018,Q4,Ladakh,Leh Ladakh,19447
2018,Q4,Ladakh,Kargil,4436
2018,Q1,Ladakh,Leh Ladakh,7255
2018,Q1,Ladakh,Kargil,1529
2018,Q3,Ladakh,Leh Ladakh,14617
2018,Q3,Ladakh,Kargil,3132
2018,Q2,Ladakh,Leh Ladakh,10733
2018,Q2,Ladakh,Kargil,2185
2020,Q1,Ladakh,Leh Ladakh,38079
2020,Q1,Ladakh,Kargil,9711
2020,Q4,Ladakh,Leh Ladakh,50252
2020,Q4,Ladakh,Kargil,14601
2020,Q3,Ladakh,Leh Ladakh,45587
2020,Q3,Ladakh,Kargil,12814
2020,Q2,Ladakh,Leh Ladakh,41782
2020,Q2,Ladakh,Kargil,11252
2022,Q4,Ladakh,Leh Ladakh,82011
2022,Q4,Ladakh,Kargil,24326
2022,Q1,Ladakh,Leh Ladakh,71173
2022,Q1,Ladakh,Kargil,21319
2022,Q2,Ladakh,Leh Ladakh,75042
2022,Q2,Ladakh,Kargil,22475
2022,Q3,Ladakh,Leh Ladakh,78769
2022,Q3,Ladakh,Kargil,23530
2019,Q4,Ladakh,Leh Ladakh,34770
2019,Q4,Ladakh,Kargil,8338
2019,Q1,Ladakh,Leh Ladakh,23891
2019,Q1,Ladakh,Kargil,5758
2019,Q2,Ladakh,Leh Ladakh,28390
2019,Q2,Ladakh,Kargil,7126
2019,Q3,Ladakh,Leh Ladakh,31455
2019,Q3,Ladakh,Kargil,7718
2023,Q4,Ladakh,Leh Ladakh,96066
2023,Q4,Ladakh,Kargil,28762
2023,Q2,Ladakh,Leh Ladakh,89148
2023,Q2,Ladakh,Kargil,26588
2023,Q1,Ladakh,Leh Ladakh,85582
2023,Q1,Ladakh,Kargil,25409
2023,Q3,Ladakh,Leh Ladakh,92688
2023,Q3,Ladakh,Kargil,27747
2021,Q2,Ladakh,Leh Ladakh,57971
2021,Q2,Ladakh,Kargil,17077
2021,Q1,Ladakh,Leh Ladakh,54095
2021,Q1,Ladakh,Kargil,15824
2021,Q3,Ladakh,Leh Ladakh,62633
2021,Q3,Ladakh,Kargil,18577
2021,Q4,Ladakh,Leh Ladakh,67049
2021,Q4,Ladakh,Kargil,20008
2023,Q3,Jammu & Kashmir,Jammu,524726
2023,Q3,Jammu & Kashmir,Srinagar,180872
2023,Q3,Jammu & Kashmir,Baramulla,156673
2023,Q3,Jammu & Kashmir,Budgam,116523
2023,Q3,Jammu & Kashmir,Kathua,110005
2023,Q3,Jammu & Kashmir,Anantnag,105459
2023,Q3,Jammu & Kashmir,Kupwara,104220
2023,Q3,Jammu & Kashmir,Udhampur,103054
2023,Q3,Jammu & Kashmir,Samba,92315
2023,Q3,Jammu & Kashmir,Rajouri,83335
2023,Q4,Jammu & Kashmir,Jammu,542942
2023,Q4,Jammu & Kashmir,Srinagar,187378
2023,Q4,Jammu & Kashmir,Baramulla,162749
2023,Q4,Jammu & Kashmir,Budgam,121095
2023,Q4,Jammu & Kashmir,Kathua,114338
2023,Q4,Jammu & Kashmir,Anantnag,109642
2023,Q4,Jammu & Kashmir,Kupwara,108196
2023,Q4,Jammu & Kashmir,Udhampur,106838
2023,Q4,Jammu & Kashmir,Samba,95819
2023,Q4,Jammu & Kashmir,Rajouri,86618
2023,Q2,Jammu & Kashmir,Jammu,504935
2023,Q2,Jammu & Kashmir,Srinagar,174167
2023,Q2,Jammu & Kashmir,Baramulla,150753
2023,Q2,Jammu & Kashmir,Budgam,112096
2023,Q2,Jammu & Kashmir,Kathua,105650
2023,Q2,Jammu & Kashmir,Anantnag,101512
2023,Q2,Jammu & Kashmir,Kupwara,100220
2023,Q2,Jammu & Kashmir,Udhampur,98918
2023,Q2,Jammu & Kashmir,Samba,88654
2023,Q2,Jammu & Kashmir,Rajouri,79836
2023,Q1,Jammu & Kashmir,Jammu,485903
2023,Q1,Jammu & Kashmir,Srinagar,167765
2023,Q1,Jammu & Kashmir,Baramulla,144514
2023,Q1,Jammu & Kashmir,Budgam,107555
2023,Q1,Jammu & Kashmir,Kathua,100962
2023,Q1,Jammu & Kashmir,Anantnag,97227
2023,Q1,Jammu & Kashmir,Kupwara,95832
2023,Q1,Jammu & Kashmir,Udhampur,94792
2023,Q1,Jammu & Kashmir,Samba,85114
2023,Q1,Jammu & Kashmir,Rajouri,76256
2019,Q1,Jammu & Kashmir,Jammu,134408
2019,Q1,Jammu & Kashmir,Srinagar,52762
2019,Q1,Jammu & Kashmir,Baramulla,45150
2019,Q1,Jammu & Kashmir,Budgam,34255
2019,Q1,Jammu & Kashmir,Anantnag,30103
2019,Q1,Jammu & Kashmir,Kathua,25620
2019,Q1,Jammu & Kashmir,Kupwara,25544
2019,Q1,Jammu & Kashmir,Udhampur,25515
2019,Q1,Jammu & Kashmir,Pulwama,23230
2019,Q1,Jammu & Kashmir,Samba,21495
2019,Q3,Jammu & Kashmir,Jammu,169849
2019,Q3,Jammu & Kashmir,Srinagar,64758
2019,Q3,Jammu & Kashmir,Baramulla,54404
2019,Q3,Jammu & Kashmir,Budgam,41004
2019,Q3,Jammu & Kashmir,Anantnag,36371
2019,Q3,Jammu & Kashmir,Kupwara,32431
2019,Q3,Jammu & Kashmir,Kathua,32213
2019,Q3,Jammu & Kashmir,Udhampur,31297
2019,Q3,Jammu & Kashmir,Pulwama,27963
2019,Q3,Jammu & Kashmir,Samba,27579
2019,Q4,Jammu & Kashmir,Jammu,174858
2019,Q4,Jammu & Kashmir,Srinagar,65611
2019,Q4,Jammu & Kashmir,Baramulla,55042
2019,Q4,Jammu & Kashmir,Budgam,41377
2019,Q4,Jammu & Kashmir,Anantnag,36725
2019,Q4,Jammu & Kashmir,Kathua,33481
2019,Q4,Jammu & Kashmir,Kupwara,33279
2019,Q4,Jammu & Kashmir,Udhampur,32252
2019,Q4,Jammu & Kashmir,Pulwama,28336
2019,Q4,Jammu & Kashmir,Samba,28333
2019,Q2,Jammu & Kashmir,Jammu,160241
2019,Q2,Jammu & Kashmir,Srinagar,62190
2019,Q2,Jammu & Kashmir,Baramulla,53196
2019,Q2,Jammu & Kashmir,Budgam,39965
2019,Q2,Jammu & Kashmir,Anantnag,35488
2019,Q2,Jammu & Kashmir,Kupwara,30791
2019,Q2,Jammu & Kashmir,Kathua,30602
2019,Q2,Jammu & Kashmir,Udhampur,29856
2019,Q2,Jammu & Kashmir,Pulwama,27167
2019,Q2,Jammu & Kashmir,Samba,25990
2021,Q4,Jammu & Kashmir,Jammu,378618
2021,Q4,Jammu & Kashmir,Srinagar,130968
2021,Q4,Jammu & Kashmir,Baramulla,112175
2021,Q4,Jammu & Kashmir,Budgam,83726
2021,Q4,Jammu & Kashmir,Kathua,78693
2021,Q4,Jammu & Kashmir,Anantnag,75622
2021,Q4,Jammu & Kashmir,Kupwara,74136
2021,Q4,Jammu & Kashmir,Udhampur,73525
2021,Q4,Jammu & Kashmir,Samba,66057
2021,Q4,Jammu & Kashmir,Rajouri,59304
2021,Q2,Jammu & Kashmir,Jammu,329625
2021,Q2,Jammu & Kashmir,Srinagar,114498
2021,Q2,Jammu & Kashmir,Baramulla,97258
2021,Q2,Jammu & Kashmir,Budgam,72750
2021,Q2,Jammu & Kashmir,Kathua,67569
2021,Q2,Jammu & Kashmir,Anantnag,65592
2021,Q2,Jammu & Kashmir,Kupwara,63957
2021,Q2,Jammu & Kashmir,Udhampur,63296
2021,Q2,Jammu & Kashmir,Samba,57066
2021,Q2,Jammu & Kashmir,Rajouri,50772
2021,Q3,Jammu & Kashmir,Jammu,354280
2021,Q3,Jammu & Kashmir,Srinagar,122752
2021,Q3,Jammu & Kashmir,Baramulla,104763
2021,Q3,Jammu & Kashmir,Budgam,78298
2021,Q3,Jammu & Kashmir,Kathua,73280
2021,Q3,Jammu & Kashmir,Anantnag,70633
2021,Q3,Jammu & Kashmir,Kupwara,69102
2021,Q3,Jammu & Kashmir,Udhampur,68452
2021,Q3,Jammu & Kashmir,Samba,61677
2021,Q3,Jammu & Kashmir,Rajouri,55013
2021,Q1,Jammu & Kashmir,Jammu,307670
2021,Q1,Jammu & Kashmir,Srinagar,107147
2021,Q1,Jammu & Kashmir,Baramulla,90607
2021,Q1,Jammu & Kashmir,Budgam,67920
2021,Q1,Jammu & Kashmir,Kathua,62777
2021,Q1,Jammu & Kashmir,Anantnag,61151
2021,Q1,Jammu & Kashmir,Kupwara,59485
2021,Q1,Jammu & Kashmir,Udhampur,58664
